,Tv shows,Actors,Rating
2016,Planet Earth II,David Attenborough,9.498332461904113
2006,Planet Earth,"David Attenborough, Sigourney Weaver",9.442612526670146
2001,Band of Brothers,"Scott Grimes, Damian Lewis",9.432254572626956
2008,Breaking Bad,"Bryan Cranston, Aaron Paul",9.408209911222249
2019,Chernobyl,"Jessie Buckley, Jared Harris",9.394722686745137
2017,Blue Planet II,"David Attenborough, Peter Drost",9.306567298838507
2002,The Wire,"Dominic West, Lance Reddick",9.302383623028762
2011,Game of Thrones,"Emilia Clarke, Peter Dinklage",9.270150896576638
2019,Our Planet,David Attenborough,9.261466139386423
2014,Cosmos,"Neil deGrasse Tyson, Stoney Emshwiller",9.244420511468014
1980,Cosmos,"Carl Sagan, Jaromír Hanzlík",9.226687913251794
2013,Rick and Morty,"Justin Roiland, Chris Parnell",9.209226139416161
2005,Avatar: The Last Airbender,"Dee Bradley Baker, Zach Tyler",9.158538920032747
1999,The Sopranos,"James Gandolfini, Lorraine Bracco",9.150734647669829
1973,The World at War,"Laurence Olivier, Anthony Eden",9.129738175121535
2009,Life,"Oprah Winfrey, David Attenborough",9.101407418898837
2010,Sherlock,"Benedict Cumberbatch, Martin Freeman",9.063507408483588
2017,The Vietnam War,"Peter Coyote, Huy Duc",9.06196665959858
2009,Hagane no renkinjutsushi,"Kent Williams, Iemasa Kayumi",9.05156264455548
1995,The Beatles Anthology,"Paul McCartney, George Harrison",9.015181460464511
1959,The Twilight Zone,"Rod Serling, Robert McCord",9.00822135015997
2011,Human Planet,"John Hurt, Roger Munns",8.99857821907279
2001,The Blue Planet,"David Attenborough, Pierce Brosnan",8.978714916655557
2018,Sahsiyet,"Haluk Bilginer, Cansu Dere",8.966149163420123
1992,Batman: The Animated Series,"Kevin Conroy, Loren Lester",8.965097149964636
2002,Firefly,"Nathan Fillion, Gina Torres",8.964059193567675
2011,Frozen Planet,"David Attenborough, Alec Baldwin",8.956559586793842
1989,Dekalog,"Artur Barcis, Olgierd Lukaszewicz",8.955420711598675
2014,True Detective,"Vince Vaughn, Colin Farrell",8.946089383218451
1990,The Civil War,"David McCullough, Sam Waterston",8.939234024929734
2006,Death Note: Desu nôto,"Mamoru Miyano, Brad Swaile",8.92814710360921
2014,Fargo,"Billy Bob Thornton, Martin Freeman",8.921219357583652
2009,Apocalypse: La 2ème guerre mondiale,"Mathieu Kassovitz, Martin Sheen",8.917305152709487
1998,Kaubôi bibappu,"Kôichi Yamadera, Unshô Ishizuka",8.906628084377342
2013,Africa,"David Attenborough, Simon Blakeney",8.903879868335615
2019,When They See Us,"Asante Blackk, Caleel Harris",8.90191738763155
2014,Last Week Tonight with John Oliver,"John Oliver, David Kaye",8.893906789553753
2015,TVF Pitchers,"Naveen Kasturia, Arunabh Kumar",8.849200678399992
1981,Only Fools and Horses....,"David Jason, Nicholas Lyndhurst",8.839286849318102
2011,Hunter x Hunter,"Megumi Han, Issei Futamata",8.827178288350966
1994,Friends,"Jennifer Aniston, Courteney Cox",8.821511649771752
1969,Monty Python's Flying Circus,"Graham Chapman, John Cleese",8.815503536028146
1985,Das Boot,"Jürgen Prochnow, Herbert Grönemeyer",8.815309644469384
2011,Black Mirror,"Daniel Lapaine, Hannah John-Kamen",8.805122099907168
1995,Pride and Prejudice,"Colin Firth, Jennifer Ehle",8.801520558889804
1989,Seinfeld,"Jerry Seinfeld, Julia Louis-Dreyfus",8.801050503884648
2005,The Office,"Steve Carell, Jenna Fischer",8.800108948884168
2012,Gravity Falls,"Jason Ritter, Alex Hirsch",8.79257084137529
2015,One Punch Man: Wanpanman,"Makoto Furukawa, Kaito Ishikawa",8.78028070237421
2014,Over the Garden Wall,"Elijah Wood, Collin Dean",8.780129727172078
1990,Twin Peaks,"Kyle MacLachlan, Michael Ontkean",8.773375717193241
2015,Narcos,"Pedro Pascal, Wagner Moura",8.761833111889814
2013,Peaky Blinders,"Cillian Murphy, Paul Anderson",8.75938360713896
2016,Stranger Things,"Millie Bobby Brown, Finn Wolfhard",8.758774784667024
2017,Senke nad Balkanom,"Andrija Kuzmanovic, Marija Bergam",8.753706006110606
2013,Nathan for You,"Nathan Fielder, Anthony Filosa",8.752106629902322
2019,The Mandalorian,"Pedro Pascal, Carl Weathers",8.747810961916782
1989,Blackadder Goes Forth,"Rowan Atkinson, Tony Robinson",8.74308519724208
1999,Freaks and Geeks,"Linda Cardellini, John Francis Daley",8.741890625561428
2003,Arrested Development,"Jason Bateman, Michael Cera",8.732801912089105
1975,Fawlty Towers,"John Cleese, Prunella Scales",8.73194983122554
2018,Pew News,"Mary Katherine Ham, Felix Kjellberg",8.728273412155103
2005,Rome,"Kevin McKidd, Ray Stevenson",8.715169647798241
2013,House of Cards,"Kevin Spacey, Michel Gill",8.715157960337704
2003,Chappelle's Show,"Dave Chappelle, Donnell Rawlings",8.715130634149155
2005,It's Always Sunny in Philadelphia,"Charlie Day, Glenn Howerton",8.713098554222858
2013,Shingeki no kyojin,"Marina Inoue, Yûki Kaji",8.710597199706715
2019,The Boys,"Karl Urban, Jack Quaid",8.706103100323867
2016,Westworld,"Evan Rachel Wood, Jeffrey Wright",8.704577555783956
1997,Oz,"Ernie Hudson, J.K. Simmons",8.700535840236759
2018,Cobra Kai,"Xolo Maridueña, Ralph Macchio",8.699794104566905
